,Tweet,Class
325,اجے دیوگن کی فلم ''ایکشن جیکسن'' کا پہلا پوسٹر جاری ,P
326, پیار بھرے دو شرمیلے نین چندے سے انقلاب,P
327,ميری پرواز جاں ميں حائل ہے سانس ٹوٹے ہوئے پروں جيسی دل کي بستی ميں رونقيں ہيں مگر چند اجڑے ہوئے گھروں جيسی,P
328,پاک،چین سرحدوں کی نگرانی کیلئے بھارت کا ڈرون طیارے استعمال کرنے کا فیصلہ ، روزنامہ اُردو پوائنٹ,P
329, اے آروائی اربوں خرچ کرکے بھی اتنی پبلیسٹی حاصل نہیں کرسکتاتھاجتنی لوھارراج کے 'شاہ' لوہا نواز اسے بند کرکے دے رھے ھیں ,N
330,دانشمندی نہیں ہے کہ آپ وزیر اعظم کا استعفے مانگتے مانگتے خود اپنے استعفیٰ دیدیں ۔ تحریک انصاف اسمبلیوں میں بے شک نہ جائے لیکن استعفے نہ دے ,N
331, غلط انسان سے ریٹ پوچھ رہے کیا پتا زیادہ ریٹ بتادے اصل ریٹ ٹویٹ والی سرکار سے پوچھیے ,N
332, اور اگر کہیں فٹ ہوتی تو وہاں کر بھی لیں :(,N
333,پاکستان تحریک انصاف کا 29اکتوبر کو استعفوں کے معاملے پر بات کرنے کیلئے اسپیکر قومی اسمبلی کے سامنے پیش ہونے کا فیصلہ,P
334,ﺑﮩﺘﺮﯾﻦ ﻟﻮﮒ ﺑﮩﺘﺮﯾﻦ ﻧﯿﺖ ﺭﮐﮭﺘﮯﮬﯿﮟ ﺟﺲ ﮐﯽ ﻭﺟﮧ ﺳﮯﺭﺏ ﺍﻥ ﮐﮯ ﺗﻤﺎﻡ ﮐﺎﻣﻮﮞ ﮐﻮ ﺳﻨﻮﺍﺭ ﺩﯾﺘﺎ ﮬﮯ،ﺍﻭﺭ ﺟﺲ ﮐﺎﻡ ﮐﻮ ﺭﺏ ﺳﻨﻮﺍﺭ ﺩﮮ ﺍﺳﮯ۔۔۔ ,P
335,دلالوں کی اصلیت اب کسی سے چھپی نہیں رہی ہے ۔ کل تک جو نظام لپیٹنے کی باتیں کر رہے تھے آج کھسیانے ہو کر اسی نظام۔۔۔ ,N
336,میں ڈیزل ڈیزل کردی آپے ڈیزل ہوئی ۔۔,P
337,اسے میرا، مجھے اس کاخسارہ۔۔۔۔ مار ڈالے گا,N
338,صحرائے سینا میں ہنگامی حالت کا نفاذ: مصر کی حکومت نے میں دو مختلف حملوں میں 31 فوجیوں کی ہلاکت۔۔۔ ,N
339,ایک دن مرنے کے لیے ساری زندگی جینا پڑتا ہے ,N
340,حضرت عمرؓ کے زمانہ خلافت میں جامع مساجد کی تعداد بارہ ہزار (12،000) تک پہنچ چکی تھی ۔ از نظام الحکومۃ الاسلامیہ ، جِلد دوم ۔,P
341,مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب,N
342,بعض اہلِ نظر کی رائے میں نئے صوبوں کی تقسیم اس طرح بھی ممکن ہے ۔ ,P
343, ثریااب تو مجھے سب ٹویٹیں مارے گا:ڈ,N
344,PTI کی یہ اچھی پالیسی ہے کہ مختلف بہانے کرکے کسی کیس کو تاخیرمیں ڈالتے رہو اور عوام کے سامنے معصوم بن کرجھوٹ بولتے رہو کہ ہمیں تو انصاف نہیں مل رہا,P
345,اب کے برس بہار بصیرت کو ڈس گئی فکرو نظر کے جھومتے باغات جل گئے ساغر کٹے کٹے ہیں ستارے بجھے بجھے شائد میرے نصیب کے دن رات جل گئے ,N
346,حکومت ماروی میمن اور خسرو بختیار کو وفاقی وزیر بنارہی ہے جبکہ شاہد خان کو چئیرمین نادرا بنارہی ہے جسے تحریک۔۔۔ ,P
347, اپ ڈیٹ کرو ٹھیک ہو جائے گا,P
348, ہاہاہا ہزارہ تو کھڑا ہے کیا حضرت صاب بھی کھڑے ہیں یا انہیں بھی رُلانے کا پلان ہے ؟؟؟,N
349,بھارتی الیکشن کمیشن کامقبوضہ کشمیرمیں نام نہاد انتخابات کا اعلان: نئی دہلی۔۔۔۔۔۔بھارتی الیکشن ۔۔۔ ,N
350,ڈآکٹر دانش ( سوال یہ ہے ) اے آر وائی کا ٹیوٹر اکائونٹ ہیک ہو گیا ہے کوئی بھی شخص ان کو ٹیوٹ نہ کر ے اور نہ ہی۔۔۔ ,N
351, محبت مجھے ان جوانوں سے ہے ڈیزل پے جو ڈالتے ہیں کمند علامہ عمران اقبال خان,P
352,زندگی اپنے لہو کا نام ہے زندگی ایک آرزو ے خام ہے زندگی حسرت بھری فریاد ہے زندگی گویا کسی یاد ہے سوزش درد جگر ہے ۔۔۔ ,N
353,ایک مشورہ ھے ۔۔۔۔ چندے سے انقلاب تو ممکن نہیں بنی گالا کا کنکشن شاید بحال ھوجائے ۔۔۔۔ یا پھر پختون ڈیزل ھی سے کام چلایے ۔۔۔,N
354,کمال کی داستان ہے سنو میں نے جس کے لیے سب کو چھوڑا دیا اس نے مجھے چھوڑ دیا,N
355,پاکستانی قوم جاگ گئی ھے کہ ڈیزل کی قیمتیں کیوں بڑھ گئی ہیں ,N
356, تو کیا آپ یه کهنا چاهتے هیں که دهشتگردی روکنے کیلئے ضرب عضب آپریشن روکنا هو گا؟,N
357,جس دن ہم میں دین کا فہم پیدا ہو جائے گا اس دن سارے مولویوں کو اپنی اپنی دوکانیں بند کر کے بهاگنا پڑ جائے گا!,N
358,رونا نہیں اے دل مضبوط ہوجا-----پھر اور کوئی تجھے توڑ نہ سکے !!!!!زویہ,P
359, میٹھی پیا کریں میٹھے ہو جائیں گے :)),P
360,کاجو ذیابطیس کے مریضوں کے لئے انتہائی مفید ہے ,P
361,ایم کیو ایم کا سندھ حکومت کے بعد آزاد جموں کشمیر حکومت سے بھی علیحدگی کا اعلان ۔ڈاکٹر فاروق ستار,N
362,یہ جو کچھ لوگ،،،، فرشتوں سے بنے پھرتے ہیں میرے ہتھّے کبھی چڑھ جائیں تو اِنساں کر دوں ,P
363,صاف چلی شفاف چلی۔۔۔ تحریکِ انصاف چلی ,P
364,لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟,P
365, اپ مدعا سمجھے ہی نہیں ,P
366,نیوز سنگدل شخص نے بیوی اور بچے کو فائرنگ کرکے قتل کردیا: : پاکستان,N
367, استیعفیٰ مانگنے والے چندہ مانگنے پر آگئے ,P
368,لاہور: شہباز شریف نے ۵ ہزار پرائمری سکولز بند کروادئیے ۔ چودھری پرویز الہی,N
369, گنجو کا فوٹو شوٹ تو هو گیا نا,P
370,کاش مفتی محمود اس رات صبر کر لیتے اور قوم اتنے بڑے حادثے سے بچ جاتیکاش ڈیزل پیدا نہ ہوتا,N
371, ہیں ؟؟ کیا ہاتھا پائی پر اتر آئے آپ لوگ :ڈ,N
372,ریاست خلافت اسلام کی محافظ اور مسلمانوں کے امور کی نگہبان ھوتی ھے اگر ان دونوں فرائض کی ادائیگی کو ترک کرتی ھے تو۔۔۔ ,P
373,کچی شراب پی کر قائم علی شاہ (شہید)ھوگئے پٹواریوں کو اطلاع دی جاتی ہے کہ شاہ جی کی چیتا کو بعد از عصر جلایا جائے گا ,N
374,الٰہی محبوب کل جہاں کو دل و جگر کا سلام پہنچے نفس نفس کا درود پہنچے ، نظر نظر کا سلام پہنچے صلی اللہ علیہ وسلم,P
375,لمحہ فکریہ! ,N
376,حضرت علی رضی اللہ عنہ کہتے ہیں رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ’’مہدی ہمارے اہل بیت میں سے ہو گا اور۔۔۔ ,P
377,ڈیزل ہیں تیری آنکھیں دھرنا ہے تیری چیخیں ۔ ,N
378,دوبئی ٹیسٹ کے پہلے دن پاکستان کی آسٹریلیا کے خلاف بیٹنگ مشکلات کا شکار۔۔ ۔۔۔میچ پی ٹی وی سپورٹس پر براہ راست,N
379, رسم قل جلد آذادی چوک میں ادا کی جاے گی,P
380,: اللہ تعالیٰ ہمیں باعلم اور باعمل بزرگانِ دین کی صحبت نصیب فرمائیں تاکہ ہماری اخلاقی تربیت ہوسکے اور گناہ کے ارادوں کا وہ علاج کرسکیں ۔,P
381,شکل اس کی تھی دلبروں جيسی خو تھی ليکن ستمگروں جيسی اس کے لب تھے سکوت کے دريا اس کی آنکھيں سخنوروں جيسی,P
382,جسٹس منصور علی شاہ نے ریمارک؟؟ دیئے ،بتایا جائے عوامی ٹیکسوں سے حاصل ہونے والی رقم کس طرح سیاسی مقاصد کے لئے استعمال کی جا سکتی ہے ,N
383,وادی ہنزہ میں خواتین کے لیے کوہ پیمائی کا اسکول ,P
384,انٹرنیشنل اسکواش، عامر اطلس ٹائٹل کے حصول سے محروم رہ گئے ,N
385, سلسلہ وار پڑھنے کے لیے ,P
386,بریکنگ :- دبئی ٹیسٹ، دوسری اننگز، یونس خان کی آسٹریلیا کے خلاف سنچری مکمل بریکنگ :- دبئی ٹیسٹ، یونس خان کی۔۔۔ ,P
387, آسٹریلوی ٹیم پاکستان کے سکور سے اب بھی341 رنز پیچھے ہے ۔,P
388,میاں صاحب بھارت کے خلاف بات کیوں نہیں کرتے ؟پٹواری: ہم نے ایٹم بم بنایا۔,N
389,نیوز پاکستان عوامی تحریک کے سربراہ طاہر القادری بیرون ملک جائینگے : : : ,P
390,مسلم لیگ کے پرچم میں دفن کرنے سے کیا بندہ ڈائیریکٹ جنت میں جاے گا ؟ ایک جھوٹا آدمی ہاشمی ہاشمی,N
391,آج میرے مضمون کا عنوان ہے کہ بھائی صرف وہ ہوتے ہیں جنہیں اللہ نے ہمارا بھائی بنایا ہے کچھ لوگوں کو میرا۔۔۔ ,P
392,پاکستان کی جانب سے انضمام الحق کی ٹیسٹ کرکٹ میں 25 سنچریاں ہیں ,P
393, لبرل اس لئے بنتے ہیں کہ یہاں اقلیت میں ہیں اکثریت میں ھوتے ایران عراق شام کی طرح تو عمر عثمان عائشہ نام رکھنے پر لٹکا دیتے ,P
394,پنجاب میں ہونے والے ضمنی الیکشن میں حصہ لیں گے : طاہر القادری - سچ ٹی وی ,P
395,ﺁﺝ ﮐﮯ ﺩﻥ ﻋﺎﺷﻖ ﻧﺒﯽ ﭘﺮ ﻻﺯﻡ ﮨﮯ ﺍﻋﻼﻥ ﮐﺮﯾﮟ ﺍﮮﺑﮭﺎﺭﺕ ﮐﺸﻤﯿﺮ ﮨﻤﺎﺭﺍ ﮐﻞ ﺑﮭﯽ ﺗﮭﺎ ﺍﻭﺭ ﺁﺝ ﺑﮭﯽ ﮨﮯ ,P
396, چندے سے انقلاب لانا تھا تو سیاست میں چھولے کھانے آئے ہو ؟؟؟ ,P
397,امریکا:ویسٹ پام بیچ کے علاقے میں بارش سے نظام زندگی متاثر ,N
398,جھپٹنا پلٹنا۔۔ پلٹ کر جھپٹنا لہو گرم رکھنے کا ھے اک بہانہ ڈاکٹر طاھر القادری نے اسلام آباد کے دھرنے کو پورے ملک۔۔۔ ,N
399,پنجاب: مزید 23 افراد ڈینگی وائرس کا شکار ,N
400,": ساے جتنی ھے ملکیت سب کی ,⁰⁰باقی جو ھے تجاوزات میں ھے ۔",P
401,اسپورٹس: پاکستان پھرین ٹیسٹ جی بی اننگ 286/2 تی ڈکلیئر کری آسٹریلیا کی 438 رنسن جو ٹارگیٹ ڈئی چھڈیو۔,P
402,زندگی بھی تو پشیماں ہے یہاں لا کے مجھے ڈھونڈتی ہے کوئی حیلہ مرے مر جانے کا۔ ۔ ۔!!! ,N
403,"کور کمیٹی کے اجلاس میں 30 نومبر کے دھرنے سے متعلق بات کی، شیریں مزاری""",P
404, اگر کرپشن کے باوجود ترقی ہونی ہوتی تو کب کی ہو چکی ہوتی۔۔۔,N
405,سید تو خود مہاجر ہیں ، خورشید شاہ کیسا سید ہے جسے اپنے سید ہونے پر ندامت اور جاگیردار ہونے پر فخر ہے ؟,N
406,لاہور: آئی جی پنجاب مشتاق سکھیرا کی زیر صدارت آر پی او کانفرنس۔ ,P
407,اسلام علیکم الله آپ کو خوش اور سلامت رکھے ۔آمین۔ صبح جمعہ مبارک!,P
408, ثمینہ صاحبہ خوش آمدید ،ویلکم،جی آیاں نوں فالو یو بیک ایز ریٹرن محبت,P
409,اب مزا دينے لگا درد محبت مجھ کو مجھ کو اس درد کی اب کوئی دوا مت دينا,N
410, کو ئی بات نہیں سب ٹھیک ہوجائیں گے ,P
411, بھائی زرداری صاحب سیاست کے بجائے اپنی کرپشن بچا رہے ہیں ۔,N
412,عربی سیکھو ، اس لیے کہ وہ عقل میں پختگی اور مروّت میں زیادتی پیدا کرتی ھے ۔ سیدنا عمر فاروقؓ,P
413,راولپنڈی،اے این ایف کی بے نظیر بھٹو انٹر نیشنل ایئر پورٹ اسلام آباد سمیت مختلف شہروں میں کاروائیاں 6کروڑ روپے سے … ,N
414, یار کرپشن ایک ایشو ہے ۔ اقربا پروری، فنڈز کا ناجائز استعمال، تھانہ اور پٹواری کلچر بہت چیلنجز ہیں ۔,N
415,ﺑﻴﺸﮏ ﺍللہ ﻟﻮﮔﻮﮞ ﭘﺮ ﮐﭽﮫ ﻇﻠﻢ ﻧﮩﻴﮟ ﮐﺮﺗﺎ ﮨﺎﮞ ﻟﻮﮒ ہیﺍپنی ﺟﺎﻧﻮﮞ ﭘﺮ ﻇﻠﻢ ﮐﺮﺗﮯ ﮨﻴﮟ ﺳﻮﺭﮦ ﯾﻮﻧﺲ 44,P
416, بجلی کٹ گیَ ، لہذا چندہ براے َ ڈیزل ہے میرے چندہ,N
417,عمران خان صاحب کو 30اور 31 اگست کی درمیانی شب یقینا یاد ہو گی جب انکے رفقاءاور کارکنان جلسے کے بعد وہاں سے جا چکے ۔۔۔ ,P
418,آج ایک نئی پیپلز پارٹی کی خبریں گردش کر رہی ہیں ,P
419,طاہر القادری محرم الحرام میں یورپ اور شمالی امریکا کا دورہ کریں گے ، ذرائع قادری پردیسی ہونے لگاہے ؟*,P
420,لیاری گینگ وار کے اہم کردار شکیل بادشاہ کا قریبی ساتھی الطاف بابا گرفتارکراچی پولیس نے لياری گینگ وارکے اہم۔۔۔ ,N
421,"حکومت سیاسی قائدین کوتحفظ دینے میں ناکام ہوچکی ہے ،شیریں مزاری""",N
422,ہر اک کو اپنی پڑی ہے میری فکر ہی نہیں ,N
423,لاہور: سروسز ہسپتال میں آئی سی یو قائم کردیا گیا۔ ڈی جی ہیلتھ ,P
424,"مولانافضل الرحمان نے جس طرح عورتوں سے متعلق بات کی ہے وہ انتہائی شرمناک ہے ،شیریں مزاری""",N
425, کل سنا ھے جیو نیوز په عمران خان کا پرانا انٹرویو چلایا تھا۔ کیا اب جیو معافی مانگنے والی ھے ؟ ویسے فائده بھی جیوکا اسی میں ھے ,P
426,اصل بے نیازی و مالداری دل کی بے نیازی و مالداری ہوتی ھے ۔ سیدنا عمر فاروقؓ,P
427,کوئی بھی شخص اس غلط فہمی میں نہ رہے ,P
428,صحبت کا بہت اثر ہوتا ہے ۔صحبت کا ملنا بهی بڑے نصیب کی بات ہے ,P
429,بریکنگ :- سلیم کی گرفتاری کیلئے لیاری اورکورنگی میں چھاپے مارے گئے ،پولیس ذرائع,N
430,فیصلہ عوام دا پرویز راٹھور حرام دا سیاسی لطیفے ,N
431,پہلے چاند تارے ' ہوا اور خوشبو' اچھے لگتے تھے ! اب صرف ۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔ تم,P
432,او جی ڈی سی ایل شیئرز اور سکوک :غیر ملکی ادائیگیوں میں بہتری کی امید: اسلام آباد۔۔۔۔۔۔۔۔۔آئن۔۔۔ ,P
433,حضرت امام حسین رضی اللہ عنہ ,P
434,دیکوں دیکوں کون ایا شیر کا شکاری ایا,N
435,مریم نواز کی یوتھ لون اسکیم کی چیرپرسن تعیناتی کے خلاف درخواست کی ہائیکورٹ میں سماعت,N
436,السلام علیکم - باغ آزاد کشمیر سے کوئی ساتھی ہوں تو مجھے ان باکس کریں ۔ جزاک اللہ,P
437,قادری کے اعلان کے بعد دھرنے کے آخری مناظر : چند لمحات پہلے لی گئی کچھ تصاویر ,P
438,کپتان مصباح الحق کا کہنا ہے کہ وہ اپنی کارکردگی سے بہت مطمئن ہیں ، کینگروز کے خلاف کامیابی کے لیے نئے کھلاڑیوں کو اعتماد دینا ہوگا۔,P
439,چندہ نہ دینے والے جانور ہوتے ہیں (بالوزن جو سیاسی نہیں ہوتا، وہ جانور ہوتاہے )فرمودات فریڈرک عمران اینجلز خان,N
440,بوٹسوانہ:این خامہ دوسری مرتبہ ملک کے جمہوری صدر منتخب بوٹسوانہ: ڈیموکریٹک پارٹی نے عام انتخابات میں 53 میں سے 33 نشستیں حاصل کیں ,P
441, دیکھیں یہ بات بالکل درست ھے ۔ سڑکیں بلاک کرنا کسی طور درست نہیں ۔ لیکن انکا نام ٹویٹر پر یا حقیقی زندگی میں احترام سے لینا چاھئے ۔,N
442,یہ دقیق اور باریک گتھی اپ ہی سلجھائیں ,P
443,تحریکِ انصاف کے دوست دل کھول کر برا بھلا کہیں ،گالیاں دیں ۔۔۔لیکن وقت آئے گا کہ ثابت ہو جائے گا کہ ہمارا فیصلہ ہم۔۔۔ ,N
444,یہی دل تھا کہ ترستا تھا مراسم کے لئے اب یہی ترکِ تعلق کے بہانے مانگے ۔ ۔۔۔۔,N
445,پیار ایک بار ہوگا۔۔۔ بار بار نہیں ہوگا ۔ ,P
446,پیمرا کے ایکشن پر پرزور مذمت کرتے والوں کو آج سانپ سونگھ گیا کیا؟ کراچی کے اکثر علاقوں میں نیوز چینلز کی نشریات بند,N
447,بڑے بے آبرو ہو کر تیرے کُوچے سے ہم نکلے ۔۔۔,N
448,جلسہ ضلع گجرات کی تاریخ کا ناقابل فراموش اور,N
449,یورپ، کینیڈا اور امریکہ کے عوام اپنے پیسے اور زیور کی سخت حفاظت کریں ورنہ وہاں بھی چندے سے انقلاب آ سکتا ہے ,N
450,کشمیر کی صورتحال!!! اقوام متحدہ بھی خاموش نہ رہ سکا۔۔۔بھارت کا سخت جواب۔۔۔!!!,N
451,تاریخ سے سبق سیکھو ,P
452,دھرنے کے خاتمے پر منفی بیان بازی نہ کی جائے ، وزیر اعظم کی ہدایتاسلام آباد: وزیر اعظم میاں محمد نواز شریف نے ۔۔۔ ,N
453, ایک گھنٹے بعد کیا کرو گی؟,O
454,بعض لوگوں کے دل ان بے پیندے برتنوں کی مانند ھوتے ھیں جن میں خواہ کتنی ھی محبت،خلوص اور توجہ ڈالی جائے ، وہ خالی۔۔۔ ,N
455,شاہد آفریدی کی آئی ڈی پیزالیون نے نمائشی میچ میں آئی ایس پی آرکو ہرا دیا ,N
456,سندھ میں ہر قوم اپنی شناخت میں برقرار رہی الطاف حسین نے مہاجر نواز شریف نے پنچابی اور پی پی نے سندھی ووٹ بٹورا جس کا نتیجہ سب کے سامنے ہے ,P
457, گو بلو رانی گو سن لو بلاول اب عوام آپ کی کتے جتنا عزت بهی نہیں کرتی,N
458,بن بلائے آجاتا ہے کبھی سوال نہیں کرتایہ تیرا خیال آخر کیوں میرا خیال نہیں کرتا,N
459,: تحریک انصاف استعفوں کے موقف پر قائم ہے ،نظام کی تبدیلی چاہتے ہیں ،شیریں مزاری,P
460,کلاسک ویڈیو گیم کی شکل میں بنایا گیا منفرد کیک!: نیویارک ۔۔۔۔۔۔کیک خواہ سالگرہ کا ہویا کسی اور۔۔۔ ,P
461, قادری صاحب اور ڈیل ، ہرگز نہیں ۔,N
462,ﺍﻧﺴﺎﻥ ﺑﮍﺍ ﮨﯽ ﺳﺨﺖ ﺟﺎﻥ ﮨﮯ ۔ ﺟﺲ ﺑﺎﺕ ﮐﺎ ﺗﺼﻮﺭ ﺑﮭﯽ ﺑﺮﺩﺍﺷﺖ ﻧﮩﯿﮟ ﮐﺮ ﺳﮑﺘﺎ ۔ ﺟﺐ ﻭﮦ ﺣﻘﯿﻘﺖ ﺑﻦ ﮐﺮ ﭨُﻮﭦ ﭘﮍﺗﯽ ﮨﮯ ﺗﻮ ﭼُﭗ ﭼﺎﭖ ﺑﺮﺩﺍﺷﺖ ﮐﺮ ﻟﯿﺘﺎ ﮨﮯ۔۔۔!,N
463,ایبولا وائرس سے ہلاکتوں کی تعداد 4 ہزار 877 ہوگئی، ڈبلیو ایچ او ,N
464,ﺯﻧﺠﯿﺮ ﮐﻮﺋﯽ ﻻ ﻣﺮﯼ ﻭﺣﺸﺖ ﮐﮯ ﺑﺮﺍﺑﺮﺍﮎ ﺗﯿﺮﮮ ﮐﮩﮯ ﺳﮯ ﺗﻮ ﭨﮭﮩﺮﻧﮯ ﮐﺎ ﻧﮩﯿﮟ ﻣﯿﮟ,N
465,دس روپے کے بعد یہ اب کالے بکرے کی سری بھی مانگیں گے ۔چندے سے انقلاب ,N
466,کاش مجھے ڈیزل مولانا بنایا ہوتا یا دھرنے سے قادری کی جگہ مجھے اٹھایا ہوتا ,P
467, اس بطح کے منہ والے سے سوہنا تو میں ہوں :))) کیسے سمجھ آئے ؟,P
468,مارڈالے گایہ احساس مجھے اجنبی ہوگیا لہجہ اپنوں کا,N
469,پاکستان مسلم لیگ ن کا یہ انتخابی ترانہ ,P
470,: ڈھائی سو ارب روپے سگریٹ میں پھونک دیے ۔۔۔۔جو مفت کے پیئے ؟؟ ,N
471,میاں صاحب اس پیغام میں ہے ایک بار ضرور دیکھیں اور شئیر کرنے میں کنجوسی نہ کریں ویڈیو دیکھیں ,N
472,جو طلب پہ عہدِ وفا کیا، تو وہ آبروئے وفا گئسرِ عام جب ہوئے مدّعی تو ثوابِ صدق و صفا گیا,N
473,یکم محرم الحرام یوم فاروق اعظم رضی الله عنه ملک بھر میں مذهبی عقیدت و احترام سے منایا جاے گا سیدنا عمر فاروق,P
474,سیالکوٹ : پاکستانی فورسز نے بھارتی فائرنگ کا منہ توڑجواب دیا،آئی ایس پی آر,N
475,لاہور: طاہر القادری کی ماڈل ٹاون مِن واقع رہائش گاہ کے اطراف سیکورٹی الرٹ۔ ,N
476,دہشتگردی میں جاں بحق، گریڈ ایک سے 16 کے ملازمین کے اہلخانہ کو 30 لاکھ روپے امداد ملے گی-,N
477,ایک آدمی نے اپنے بیٹے کو سمجھانے کے لیے اسے ایک شیشے کے سامنے کھڑا کر کے پوچھا بیٹا اس شیشے میں تمہیں کیا نظر آ۔۔۔ ,O
478,یونین آف جرنلسٹس لاعلمی کی بہترین مثال ہے ,N
479, اتفاق سے میں پرچہ حل کرنے کیلئے جارہاہوں ۔۔۔دو بجے پیپر ہء,P
480,بالی وڈ اداکارہ ریکھا سپر نانی بن گئیں ,P
481,زاہد‘ یہ میری شوخیِ رندانہ دیکھنا!رحمت کو باتوں باتوں میں بہلا کے پی گیاسر مستیِ ازل مجھے جب یاد آ گئی دنیائے اعتبار کو ٹھکرا کے پی گیا,P
482,RT: زرداری نے زبان سے چندے کا لفظ منہ سے نکالا تو ٹوٹ پڑے اسکی اپیل پر لوگوں نے سمجھاشاید کہہ رہا ہے چُندے یعنی دیوار میں چُندے ,N
483,دھرنا ختم کرنے پر عوامی تحریک کے کارکنان پھوٹ پھوٹ کر روپڑے ,N
484, تبدیلی آ نہیں رہی تبدیلی آگئی ہے ;),P
485,ﺩﺑﺌﯽ ﭨﯿﺴﭧ : ﮐﮭﺎﻧﮯ ﮐﮯ ﻭﻗﻔﮯ ﭘﺮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ 2 ﻭﮐﭧ ﭘﺮ 50 ﺭﻧﺰﺍﻇﮩﺮ ﻋﻠﯽ 24 ﺍﻭﺭ ﯾﻮﻧﺲ ﺧﺎﻥ 14 ﺭﻧﺰ ﭘﺮ ﻧﺎﭦ ﺁﺅﭦ,P
486,عمران خان کنٹینرسے نکل کراس کی چھت پر پہنچے اورکئی لمحے طاہر القادری کے کنٹینرکی طرف لوگوں کوسامان باندھتا دیکھتے رہے ۔,P
487,صرف اسلام آباد میں بیٹھے رہنے سے عوام کا شعور بیدار کیا جا سکتا تو ڈاکٹر طاہر القادری۔۔۔ ,P
488,:تبدیلی ڈول بجانے سے نہیں آتی ، عملی کام کرنے سے آتی ھے ،,P
489,کہانی آپ اْلجھی ہے کہ اْلجھائی گئی ہے ۔۔۔یہ عقدہ تب کھلے گاجب تماشا ختم ہو گا ,N
490,ایک سے 16 گریڈ کے ملازمین کے انتقال پر خاندان کو 25 لاکھ روپے دیے جائیں گے -,N
491, خان صاحب کے شرمناک اندازگفتگو کے بارے میں کیاکہیں گی شیریں صاحبہ,N
492, دماغ کا دلیہ,N
493, استعفیٰ دینے کے لئے باغی جتنی ہمّت چاہے ,N
494,بتاوُ کیسا لگتا ہے ؟ کسی ویران رستے پر کسی انجان رستے پر کسی کا ساتھ مِل جاناخوشی کے پھول کِھل جانابتاوُ کیسا۔۔۔ ,N
495,چھاپہ مار ٹیم نے ٹاپ ٹریٹمنٹ کے نام سے قائم فیکٹری کو سیل کردیا ,N
496, انل نریندر: بچوں کے جنسی استحصال کے بڑھتے واقعات باعث تشویش مس۔۔۔ ,N
497,۱/۲ﺍﮔﺮ ﺍﻧﺴﺎﻥ ﺍﭘﻨﮯ ﺍﻭﺭ ﺍﻟﻠﮧ ﮐﮯﺩﺭﻣﯿﺎﻥ ﺗﻌﻠﻖ ﮐﯽ ﺍﺻﻼﺡ ﮐﺮ ﻟﮯﺗﻮ ﻣﺨﻠﻮﻕ ﺳﮯ ﺗﻌﻠﻖ ﮐﮯ ﻣﻌﺎﻣﻠﮧ ﻣﯿﮟ ﺍﻟﻠﮧ ﺍﺱ ﮐﮯ ﻟﯿﮯ ﮐﺎﻓﯽ ﮨﻮﺟﺎﺗﺎ ﮨﮯ،,P
498,نبہیا چوہدری کی مبینہ خود کشی ذہنی دبائو کا نتیجہ قرار ,N
